timestamp,Depth,WOB,SURF_RPM,ROP_AVG,PHIF,VSH,SW
2025-06-30 01:20:16.513147,3305.0,26217.8639999999,1.3147203,0.004088054,0.086711005495,0.071718794646,1.000000000114
2025-06-30 01:21:16.513147,3310.0,83492.293,1.3286739,0.005159383,0.095208497586,0.116548315173,1.0
2025-06-30 01:22:16.513147,3315.0,97087.882,1.4201163,0.0059714693,0.061636098298,0.104283234455,1.0
2025-06-30 01:23:16.513147,3320.0,54793.206,1.5939307,0.0054191089,0.043497663737,0.110039811043,1.0
2025-06-30 01:24:16.513147,3325.0,50301.579,1.653262,0.0054352483,0.035252240772,0.120807705666,1.0
2025-06-30 01:25:16.513147,3330.0,56835.194,1.65745,0.004738274,0.015965128094,0.085564924968,1.0
2025-06-30 01:26:16.513147,3335.0,37638.028,2.1392383,0.0088117672,0.046243123377,0.109858974537,1.0
2025-06-30 01:27:16.513147,3340.0,37638.028,2.1392383,0.0088117672,0.041236564598,0.071368258063,1.0
2025-06-30 01:28:16.513147,3345.0,44564.583,1.9748064,0.0084562083,0.013781888835,0.090755599032,1.0
2025-06-30 01:29:16.513147,3350.0,60928.6029999999,1.7357419,0.0073915492,0.017082658695,0.097655747699,1.0
2025-06-30 01:30:16.513147,3355.0,40202.384,2.5205151,0.0067930479,0.01431600839,0.089343110867,1.0
2025-06-30 01:31:16.513147,3360.0,43788.455,2.5870526,0.0067808329,0.05379895882,0.09655029275,1.0
2025-06-30 01:32:16.513147,3365.0,44938.123,2.6299641,0.0067834211,0.03779870146,0.111597018839,1.0
2025-06-30 01:33:16.513147,3370.0,45959.357,2.639233,0.0034027231,0.03652622573,0.092511973473,1.0
2025-06-30 01:34:16.513147,3375.0,27652.132,2.5934011,0.0073812824,0.030479465315,0.113838982993,1.0
2025-06-30 01:35:16.513147,3380.0,29439.337,2.5458528,0.0073796552,0.026482121187,0.087976159425,1.0
2025-06-30 01:36:16.513147,3390.0,51058.513,2.5862395,0.0073764058,0.032047358025,0.070752103795,1.0
2025-06-30 01:37:16.513147,3395.0,54386.651,2.5757272,0.0071235497,0.024143295786,0.111945171782,1.0
2025-06-30 01:38:16.513147,3400.0,42902.5479999999,2.5644255,0.0069761735,0.019745276629,0.055927879061,1.0
2025-06-30 01:39:16.513147,3405.0,90190.589,2.6031916,0.0067889398,0.002968187721,0.064927597862,1.0
